,0
email,36
message,29
docusign,16
banking,14
accounting,13
microsoft,13
targeting,13
facebook,11
labs,11
ring,11
trojan,10
apple,10
aes,9
company,8
trustwave,8
spoofing,8
began,7
object,6
experiment,6
biz,6
macro,6
sample,6
y739ayh,6
cloud,6
zip,6
certificates,6
hancitor,6
sophisticated,6
target,6
org,6
net,5
wave,5
browsing,5
card,5
unknown,5
analysis,5
ssl,5
online,5
reason,4
processes,4
load,4
institutions,4
paper,4
whoami,4
encryption,4
results,4
spring,4
xml,4
downloader,4
aas,4
configuration,4
tom,4
explorer,4
result,4
originating,4
certificate,4
secured,4
info,4
steals,4
written,4
banks,4
abbasi,4
mendrez,4
encrypt,4
follow,4
line,4
gathering,4
cases,4
scanning,4
aug,4
spam,4
contents,3
academic,3
powerpoint,3
questions,3
signature,3
shortened,3
browsers,3
itself,3
curiosity,3
delivers,3
office,3
let,3
safe,3
exploit,3
dom,3
notifications,3
phony,3
business,3
problem,3
receipt,3
social,3
employs,3
receive,3
experts,3
described,3
invoices,3
increasingly,3
confirmed,2
anything,2
quickly,2
emerged,2
drvenergy,2
ready,2
completed,2
catch,2
surely,2
landscape,2
side,2
detect,2
crawlers,2
associate,2
brands,2
measure,2
michael,2
mimoso,2
encrypting,2
fairly,2
adept,2
write,2
accessed,2
reputation,2
mitigation,2
training,2
twitter,2
shirokova,2
authorities,2
crafted,2
summer,2
lock,2
green,2
paypal,2
inside,2
nikolaev,2
pictures,2
participants,2
bit,2
ended,2
abusing,2
why,2
context,2
tls,2
job,2
privacy,2
extra,2
communication,2
universitat,2
susceptibility,2
issued,2
contributing,2
ly,2
done,2
macros,2
stated,2
claimed,2
enabled,2
credit,2
physical,2
temporary,2
scan,2
essentially,2
monday,2
little,2
retrieve,2
regardless,2
australiangovernments,2
applied,2
supposedly,2
students,2
btconnect,2
submitted,2
myobaustralia,2
arbitrary,2
hollowing,2
performs,2
executed,2
benign,2
hook,2
registry,2
changes,2
settings,2
policy,2
wide,2
financialaccountant,2
application,2
installed,2
capable,2
parse,2
inject,2
creates,2
suspended,2
privilege,2
dropped,2
tmp,2
saves,2
commands,2
built,2
integrity,2
probes,2
