Source,Target,Type,Weight
1,3,undirected,1
2,3,undirected,1
3,22,undirected,1
4,3,undirected,1
5,3,undirected,1
6,3,undirected,1
7,3,undirected,1
8,7,undirected,1
8,3,undirected,1
3,40,undirected,1
1,7,undirected,1
9,3,undirected,1
8,1,undirected,1
10,3,undirected,1
11,3,undirected,1
12,3,undirected,1
13,3,undirected,1
3,80,undirected,1
3,98,undirected,1
3,241,undirected,1
1,5,undirected,1
3,242,undirected,1
1,40,undirected,1
3,105,undirected,1
14,3,undirected,1
15,3,undirected,1
3,243,undirected,1
16,22,undirected,1
17,3,undirected,1
2,26,undirected,1
18,4,undirected,1
3,42,undirected,1
4,98,undirected,1
19,3,undirected,1
16,3,undirected,1
20,3,undirected,1
18,3,undirected,1
3,128,undirected,1
2,42,undirected,1
1,17,undirected,1
1,28,undirected,1
21,3,undirected,1
22,40,undirected,1
23,3,undirected,1
5,241,undirected,1
24,3,undirected,1
6,197,undirected,1
11,197,undirected,1
11,6,undirected,1
1,241,undirected,1
25,3,undirected,1
3,197,undirected,1
26,3,undirected,1
27,3,undirected,1
28,3,undirected,1
29,3,undirected,1
12,9,undirected,1
30,3,undirected,1
30,22,undirected,1
5,7,undirected,1
3,134,undirected,1
31,3,undirected,1
8,5,undirected,1
3,74,undirected,1
3,171,undirected,1
3,137,undirected,1
1,31,undirected,1
1,6,undirected,1
32,3,undirected,1
33,3,undirected,1
34,42,undirected,1
35,42,undirected,1
36,244,undirected,1
37,244,undirected,1
2,35,undirected,1
31,244,undirected,1
3,244,undirected,1
34,35,undirected,1
38,19,undirected,1
1,244,undirected,1
39,12,undirected,1
39,9,undirected,1
39,3,undirected,1
38,55,undirected,1
39,245,undirected,1
12,245,undirected,1
2,34,undirected,1
3,37,undirected,1
40,244,undirected,1
1,29,undirected,1
29,41,undirected,1
29,246,undirected,1
1,246,undirected,1
41,246,undirected,1
3,41,undirected,1
1,41,undirected,1
3,247,undirected,1
3,246,undirected,1
36,40,undirected,1
1,36,undirected,1
37,40,undirected,1
1,37,undirected,1
37,36,undirected,1
34,3,undirected,1
31,40,undirected,1
35,3,undirected,1
31,36,undirected,1
2,247,undirected,1
42,247,undirected,1
34,247,undirected,1
35,247,undirected,1
31,37,undirected,1
3,36,undirected,1
43,3,undirected,1
14,19,undirected,1
38,3,undirected,1
44,3,undirected,1
8,44,undirected,1
45,44,undirected,1
44,42,undirected,1
2,44,undirected,1
44,248,undirected,1
24,44,undirected,1
45,3,undirected,1
3,248,undirected,1
45,7,undirected,1
2,24,undirected,1
7,42,undirected,1
2,7,undirected,1
7,248,undirected,1
24,7,undirected,1
44,7,undirected,1
46,47,undirected,1
46,22,undirected,1
47,22,undirected,1
24,248,undirected,1
24,42,undirected,1
38,54,undirected,1
8,45,undirected,1
48,249,undirected,1
49,249,undirected,1
50,249,undirected,1
51,3,undirected,1
48,3,undirected,1
3,49,undirected,1
50,3,undirected,1
3,249,undirected,1
8,42,undirected,1
45,24,undirected,1
45,42,undirected,1
8,2,undirected,1
2,45,undirected,1
8,248,undirected,1
45,248,undirected,1
42,248,undirected,1
2,248,undirected,1
8,24,undirected,1
52,46,undirected,1
52,47,undirected,1
52,22,undirected,1
53,19,undirected,1
3,56,undirected,1
54,3,undirected,1
53,55,undirected,1
55,40,undirected,1
55,14,undirected,1
55,56,undirected,1
54,55,undirected,1
55,3,undirected,1
19,40,undirected,1
46,3,undirected,1
3,245,undirected,1
19,56,undirected,1
54,19,undirected,1
55,19,undirected,1
38,53,undirected,1
38,40,undirected,1
38,14,undirected,1
38,56,undirected,1
53,3,undirected,1
54,56,undirected,1
54,14,undirected,1
54,40,undirected,1
3,47,undirected,1
52,3,undirected,1
46,30,undirected,1
30,47,undirected,1
52,30,undirected,1
46,242,undirected,1
47,242,undirected,1
22,242,undirected,1
52,242,undirected,1
30,242,undirected,1
53,40,undirected,1
53,14,undirected,1
14,40,undirected,1
53,56,undirected,1
56,40,undirected,1
14,56,undirected,1
54,53,undirected,1
9,245,undirected,1
57,27,undirected,1
58,5,undirected,1
59,3,undirected,1
60,61,undirected,1
2,60,undirected,1
60,59,undirected,1
61,62,undirected,1
2,62,undirected,1
62,59,undirected,1
60,62,undirected,1
61,3,undirected,1
60,3,undirected,1
58,6,undirected,1
62,3,undirected,1
63,250,undirected,1
2,250,undirected,1
2,63,undirected,1
64,250,undirected,1
64,63,undirected,1
2,64,undirected,1
3,250,undirected,1
2,59,undirected,1
61,59,undirected,1
2,61,undirected,1
3,251,undirected,1
65,3,undirected,1
66,3,undirected,1
67,69,undirected,1
68,69,undirected,1
69,81,undirected,1
65,69,undirected,1
4,69,undirected,1
69,66,undirected,1
69,3,undirected,1
4,71,undirected,1
70,71,undirected,1
4,70,undirected,1
71,251,undirected,1
4,251,undirected,1
70,251,undirected,1
3,71,undirected,1
70,3,undirected,1
3,63,undirected,1
64,3,undirected,1
72,250,undirected,1
73,74,undirected,1
74,252,undirected,1
73,76,undirected,1
75,76,undirected,1
76,252,undirected,1
76,74,undirected,1
77,73,undirected,1
77,75,undirected,1
77,252,undirected,1
77,74,undirected,1
77,76,undirected,1
23,73,undirected,1
23,75,undirected,1
23,252,undirected,1
23,74,undirected,1
23,76,undirected,1
77,23,undirected,1
73,134,undirected,1
75,74,undirected,1
75,252,undirected,1
72,63,undirected,1
73,252,undirected,1
2,72,undirected,1
64,72,undirected,1
72,3,undirected,1
78,79,undirected,1
2,79,undirected,1
78,2,undirected,1
79,253,undirected,1
78,253,undirected,1
2,253,undirected,1
3,79,undirected,1
78,3,undirected,1
3,253,undirected,1
79,80,undirected,1
78,80,undirected,1
2,80,undirected,1
80,253,undirected,1
75,73,undirected,1
81,3,undirected,1
68,3,undirected,1
67,3,undirected,1
82,57,undirected,1
82,3,undirected,1
27,83,undirected,1
83,40,undirected,1
57,83,undirected,1
83,22,undirected,1
83,3,undirected,1
82,83,undirected,1
16,27,undirected,1
16,40,undirected,1
16,57,undirected,1
16,82,undirected,1
16,83,undirected,1
2,128,undirected,1
84,128,undirected,1
2,84,undirected,1
85,128,undirected,1
2,85,undirected,1
82,22,undirected,1
82,40,undirected,1
86,128,undirected,1
82,27,undirected,1
6,5,undirected,1
87,58,undirected,1
87,5,undirected,1
87,6,undirected,1
58,88,undirected,1
88,5,undirected,1
6,88,undirected,1
87,88,undirected,1
58,3,undirected,1
87,3,undirected,1
88,3,undirected,1
27,40,undirected,1
51,249,undirected,1
57,40,undirected,1
27,22,undirected,1
57,22,undirected,1
57,3,undirected,1
85,84,undirected,1
2,86,undirected,1
4,66,undirected,1
89,92,undirected,1
89,3,undirected,1
90,89,undirected,1
91,89,undirected,1
68,67,undirected,1
67,81,undirected,1
68,81,undirected,1
65,67,undirected,1
68,65,undirected,1
65,81,undirected,1
4,67,undirected,1
4,68,undirected,1
4,81,undirected,1
4,65,undirected,1
67,66,undirected,1
68,66,undirected,1
66,81,undirected,1
65,66,undirected,1
1,89,undirected,1
89,93,undirected,1
86,84,undirected,1
90,91,undirected,1
86,85,undirected,1
84,3,undirected,1
85,3,undirected,1
86,3,undirected,1
92,93,undirected,1
1,93,undirected,1
1,92,undirected,1
93,3,undirected,1
92,3,undirected,1
90,93,undirected,1
90,92,undirected,1
90,1,undirected,1
90,3,undirected,1
91,93,undirected,1
91,92,undirected,1
1,91,undirected,1
91,3,undirected,1
4,249,undirected,1
94,133,undirected,1
6,249,undirected,1
95,3,undirected,1
96,97,undirected,1
97,98,undirected,1
96,3,undirected,1
97,3,undirected,1
96,242,undirected,1
98,242,undirected,1
97,242,undirected,1
99,106,undirected,1
4,99,undirected,1
4,106,undirected,1
99,100,undirected,1
100,106,undirected,1
4,100,undirected,1
101,99,undirected,1
101,106,undirected,1
4,101,undirected,1
101,100,undirected,1
96,98,undirected,1
95,254,undirected,1
50,49,undirected,1
102,95,undirected,1
103,28,undirected,1
6,105,undirected,1
104,105,undirected,1
104,6,undirected,1
102,105,undirected,1
102,6,undirected,1
102,104,undirected,1
105,254,undirected,1
6,254,undirected,1
104,254,undirected,1
102,254,undirected,1
104,3,undirected,1
102,3,undirected,1
3,254,undirected,1
95,105,undirected,1
95,6,undirected,1
104,95,undirected,1
99,134,undirected,1
106,134,undirected,1
4,134,undirected,1
100,134,undirected,1
15,109,undirected,1
4,15,undirected,1
15,255,undirected,1
5,40,undirected,1
8,40,undirected,1
40,241,undirected,1
8,241,undirected,1
5,107,undirected,1
40,107,undirected,1
8,107,undirected,1
1,107,undirected,1
107,241,undirected,1
3,107,undirected,1
7,40,undirected,1
7,241,undirected,1
7,107,undirected,1
10,122,undirected,1
108,15,undirected,1
10,15,undirected,1
3,255,undirected,1
108,109,undirected,1
101,134,undirected,1
99,3,undirected,1
3,106,undirected,1
100,3,undirected,1
101,3,undirected,1
10,108,undirected,1
10,109,undirected,1
4,10,undirected,1
3,109,undirected,1
4,108,undirected,1
4,109,undirected,1
10,255,undirected,1
108,255,undirected,1
109,255,undirected,1
4,255,undirected,1
108,3,undirected,1
103,7,undirected,1
103,3,undirected,1
103,120,undirected,1
110,243,undirected,1
111,3,undirected,1
112,3,undirected,1
113,3,undirected,1
114,3,undirected,1
115,3,undirected,1
116,3,undirected,1
117,3,undirected,1
15,111,undirected,1
112,15,undirected,1
113,15,undirected,1
114,15,undirected,1
115,15,undirected,1
15,116,undirected,1
117,15,undirected,1
110,119,undirected,1
118,119,undirected,1
118,110,undirected,1
117,116,undirected,1
115,117,undirected,1
114,117,undirected,1
115,113,undirected,1
113,111,undirected,1
113,112,undirected,1
114,111,undirected,1
114,112,undirected,1
114,113,undirected,1
115,111,undirected,1
115,112,undirected,1
114,115,undirected,1
113,117,undirected,1
111,116,undirected,1
112,116,undirected,1
113,116,undirected,1
114,116,undirected,1
115,116,undirected,1
117,111,undirected,1
117,112,undirected,1
119,243,undirected,1
118,243,undirected,1
103,121,undirected,1
119,22,undirected,1
1,120,undirected,1
120,121,undirected,1
121,3,undirected,1
120,3,undirected,1
17,7,undirected,1
121,7,undirected,1
120,7,undirected,1
28,5,undirected,1
28,17,undirected,1
8,28,undirected,1
28,121,undirected,1
28,120,undirected,1
28,7,undirected,1
103,5,undirected,1
103,17,undirected,1
8,103,undirected,1
1,103,undirected,1
8,120,undirected,1
17,120,undirected,1
120,5,undirected,1
21,22,undirected,1
110,22,undirected,1
118,22,undirected,1
22,243,undirected,1
21,119,undirected,1
21,110,undirected,1
118,21,undirected,1
21,243,undirected,1
119,3,undirected,1
1,121,undirected,1
110,3,undirected,1
118,3,undirected,1
17,5,undirected,1
8,17,undirected,1
5,121,undirected,1
17,121,undirected,1
8,121,undirected,1
10,138,undirected,1
122,138,undirected,1
10,74,undirected,1
123,130,undirected,1
3,129,undirected,1
124,3,undirected,1
3,256,undirected,1
125,3,undirected,1
5,127,undirected,1
5,126,undirected,1
126,127,undirected,1
29,5,undirected,1
29,127,undirected,1
29,126,undirected,1
5,257,undirected,1
127,257,undirected,1
126,257,undirected,1
29,257,undirected,1
3,127,undirected,1
126,3,undirected,1
3,257,undirected,1
125,256,undirected,1
1,125,undirected,1
125,17,undirected,1
1,124,undirected,1
124,129,undirected,1
128,129,undirected,1
124,128,undirected,1
17,129,undirected,1
17,124,undirected,1
17,128,undirected,1
1,129,undirected,1
1,128,undirected,1
125,128,undirected,1
129,256,undirected,1
124,256,undirected,1
128,256,undirected,1
17,256,undirected,1
1,256,undirected,1
125,129,undirected,1
125,124,undirected,1
130,258,undirected,1
123,258,undirected,1
131,9,undirected,1
94,130,undirected,1
132,133,undirected,1
133,22,undirected,1
133,3,undirected,1
51,6,undirected,1
4,6,undirected,1
4,51,undirected,1
6,48,undirected,1
51,48,undirected,1
4,48,undirected,1
6,49,undirected,1
51,49,undirected,1
4,49,undirected,1
48,49,undirected,1
50,6,undirected,1
50,51,undirected,1
50,4,undirected,1
50,48,undirected,1
134,252,undirected,1
