,term1,term2,freq
0,phishing,scam,2
1,attacks,phishing,1
2,duped,facebook,1
3,messenger,scam,1
4,facebook,scam,1
5,millions,scam,1
6,facebook,messenger,1
7,messenger,millions,1
8,facebook,millions,1
9,campaign,sms,1
10,phishing,sms,1
11,app,sms,1
12,america,sms,1
13,sms,users,1
14,bank,sms,1
15,mobile,sms,1
16,sms,targets,1
17,duped,millions,1
18,duped,messenger,1
19,campaign,phishing,1
20,phishing,trips,1
21,scams,summer,1
22,lead,scams,1
23,scams,trips,1
24,scams,world,1
25,phishing,summer,1
26,lead,phishing,1
27,phishing,world,1
28,duped,scam,1
29,lead,summer,1
30,summer,trips,1
31,summer,world,1
32,lead,trips,1
33,lead,world,1
34,trips,world,1
35,north,sms,1
36,app,campaign,1
37,vacation,world,1
38,mobile,users,1
39,america,users,1
40,america,bank,1
41,america,mobile,1
42,america,targets,1
43,america,north,1
44,bank,users,1
45,targets,users,1
46,app,targets,1
47,north,users,1
48,bank,mobile,1
49,bank,targets,1
50,bank,north,1
51,mobile,targets,1
52,mobile,north,1
53,app,north,1
54,app,mobile,1
55,america,campaign,1
56,america,phishing,1
57,campaign,users,1
58,bank,campaign,1
59,campaign,mobile,1
60,campaign,targets,1
61,campaign,north,1
62,app,phishing,1
63,phishing,users,1
64,app,bank,1
65,bank,phishing,1
66,mobile,phishing,1
67,phishing,targets,1
68,north,phishing,1
69,america,app,1
70,app,users,1
71,phishing,scams,1
72,trips,vacation,1
73,attacks,facebook,1
74,instagram,pilfers,1
75,phishing,pilfers,1
76,credentials,phishing,1
77,instagram,phishing,1
78,help,phishing,1
79,center,phishing,1
80,credentials,pilfers,1
81,help,pilfers,1
82,help,scam,1
83,center,pilfers,1
84,credentials,instagram,1
85,credentials,help,1
86,center,credentials,1
87,help,instagram,1
88,center,instagram,1
89,center,scam,1
90,instagram,scam,1
91,lead,vacation,1
92,pad,phishing,1
93,attacks,launching,1
94,attacks,top,1
95,attacks,pad,1
96,facebook,phishing,1
97,launching,phishing,1
98,phishing,top,1
99,facebook,launching,1
100,credentials,scam,1
101,facebook,top,1
102,facebook,pad,1
103,launching,top,1
104,launching,pad,1
105,pad,top,1
106,pilfers,scam,1
107,center,help,1
108,already,scam,1
109,scam,uk,1
110,cup,phishing,1
111,curiosity,kills,1
112,comes,security,1
113,comes,curiosity,1
114,curiosity,security,1
115,cup,vacation,1
116,cup,scams,1
117,cup,summer,1
118,scam,spotted,1
119,cup,lead,1
120,cup,trips,1
121,cup,world,1
122,scams,vacation,1
123,phishing,vacation,1
124,summer,vacation,1
125,kills,security,1
126,comes,kills,1
127,curiosity,phishing,1
128,phishing,security,1
129,comes,phishing,1
130,kills,phishing,1
131,omicron,spotted,1
132,omicron,uk,1
133,spotted,uk,1
134,omicron,phishing,1
135,phishing,spotted,1
136,phishing,uk,1
137,already,omicron,1
138,already,spotted,1
139,already,uk,1
140,already,phishing,1
141,omicron,scam,1
142,north,targets,1
