Source,Target,Type,Weight
1,24,undirected,1
2,1,undirected,1
3,1,undirected,1
4,1,undirected,1
1,20,undirected,1
6,1,undirected,1
3,24,undirected,1
8,1,undirected,1
9,1,undirected,1
4,24,undirected,1
10,1,undirected,1
1,15,undirected,1
11,1,undirected,1
12,13,undirected,1
13,1,undirected,1
1,75,undirected,1
14,1,undirected,1
11,16,undirected,1
15,16,undirected,1
11,12,undirected,1
13,16,undirected,1
1,16,undirected,1
15,75,undirected,1
16,75,undirected,1
14,16,undirected,1
14,15,undirected,1
14,75,undirected,1
13,15,undirected,1
11,15,undirected,1
17,18,undirected,1
17,6,undirected,1
17,19,undirected,1
17,20,undirected,1
17,1,undirected,1
17,21,undirected,1
18,76,undirected,1
6,76,undirected,1
19,76,undirected,1
20,76,undirected,1
1,76,undirected,1
21,76,undirected,1
17,76,undirected,1
11,13,undirected,1
11,75,undirected,1
13,75,undirected,1
11,14,undirected,1
14,13,undirected,1
12,14,undirected,1
12,75,undirected,1
12,1,undirected,1
12,15,undirected,1
22,77,undirected,1
4,77,undirected,1
23,24,undirected,1
24,77,undirected,1
25,23,undirected,1
25,77,undirected,1
25,1,undirected,1
4,25,undirected,1
25,24,undirected,1
23,22,undirected,1
1,22,undirected,1
21,20,undirected,1
4,22,undirected,1
22,24,undirected,1
25,22,undirected,1
26,2,undirected,1
26,1,undirected,1
26,45,undirected,1
2,45,undirected,1
1,45,undirected,1
26,66,undirected,1
4,23,undirected,1
1,77,undirected,1
23,1,undirected,1
23,77,undirected,1
12,16,undirected,1
28,29,undirected,1
29,1,undirected,1
28,1,undirected,1
29,24,undirected,1
28,24,undirected,1
29,78,undirected,1
28,78,undirected,1
1,78,undirected,1
24,78,undirected,1
29,3,undirected,1
28,3,undirected,1
3,78,undirected,1
29,30,undirected,1
28,30,undirected,1
1,30,undirected,1
30,24,undirected,1
30,78,undirected,1
3,30,undirected,1
21,1,undirected,1
31,57,undirected,1
21,19,undirected,1
1,34,undirected,1
1,36,undirected,1
32,34,undirected,1
32,35,undirected,1
32,36,undirected,1
32,1,undirected,1
33,34,undirected,1
33,35,undirected,1
33,36,undirected,1
33,1,undirected,1
32,33,undirected,1
34,79,undirected,1
35,79,undirected,1
36,79,undirected,1
1,79,undirected,1
32,79,undirected,1
33,79,undirected,1
8,34,undirected,1
8,35,undirected,1
8,36,undirected,1
35,1,undirected,1
35,36,undirected,1
21,6,undirected,1
36,34,undirected,1
37,20,undirected,1
37,1,undirected,1
37,9,undirected,1
38,20,undirected,1
38,1,undirected,1
38,9,undirected,1
37,38,undirected,1
39,20,undirected,1
1,39,undirected,1
9,39,undirected,1
37,39,undirected,1
38,39,undirected,1
40,20,undirected,1
1,40,undirected,1
9,40,undirected,1
37,40,undirected,1
38,40,undirected,1
40,39,undirected,1
35,34,undirected,1
32,8,undirected,1
33,8,undirected,1
8,79,undirected,1
41,43,undirected,1
42,24,undirected,1
42,10,undirected,1
42,80,undirected,1
3,41,undirected,1
3,43,undirected,1
3,44,undirected,1
3,10,undirected,1
3,80,undirected,1
3,42,undirected,1
6,18,undirected,1
19,18,undirected,1
6,19,undirected,1
20,18,undirected,1
6,20,undirected,1
19,20,undirected,1
1,18,undirected,1
1,19,undirected,1
1,66,undirected,1
21,18,undirected,1
42,1,undirected,1
42,44,undirected,1
42,43,undirected,1
41,10,undirected,1
41,44,undirected,1
43,44,undirected,1
41,1,undirected,1
43,1,undirected,1
44,1,undirected,1
41,24,undirected,1
43,24,undirected,1
44,24,undirected,1
43,10,undirected,1
42,41,undirected,1
44,10,undirected,1
10,24,undirected,1
41,80,undirected,1
43,80,undirected,1
44,80,undirected,1
1,80,undirected,1
24,80,undirected,1
10,80,undirected,1
2,66,undirected,1
3,45,undirected,1
45,66,undirected,1
46,71,undirected,1
47,52,undirected,1
47,81,undirected,1
47,24,undirected,1
8,51,undirected,1
48,8,undirected,1
2,8,undirected,1
8,52,undirected,1
8,81,undirected,1
8,24,undirected,1
47,8,undirected,1
1,82,undirected,1
4,82,undirected,1
10,82,undirected,1
4,10,undirected,1
49,82,undirected,1
1,49,undirected,1
4,49,undirected,1
10,49,undirected,1
50,82,undirected,1
47,1,undirected,1
2,47,undirected,1
48,47,undirected,1
51,81,undirected,1
2,51,undirected,1
48,2,undirected,1
51,1,undirected,1
48,1,undirected,1
51,52,undirected,1
48,52,undirected,1
2,52,undirected,1
1,52,undirected,1
48,81,undirected,1
47,51,undirected,1
2,81,undirected,1
1,81,undirected,1
52,81,undirected,1
51,24,undirected,1
48,24,undirected,1
2,24,undirected,1
24,52,undirected,1
24,81,undirected,1
50,1,undirected,1
4,50,undirected,1
50,10,undirected,1
53,83,undirected,1
54,58,undirected,1
55,54,undirected,1
54,6,undirected,1
54,84,undirected,1
54,1,undirected,1
56,83,undirected,1
1,83,undirected,1
56,1,undirected,1
53,56,undirected,1
55,1,undirected,1
53,1,undirected,1
57,83,undirected,1
56,57,undirected,1
1,57,undirected,1
53,57,undirected,1
31,83,undirected,1
56,31,undirected,1
31,1,undirected,1
1,84,undirected,1
58,1,undirected,1
50,49,undirected,1
4,60,undirected,1
59,82,undirected,1
59,1,undirected,1
4,59,undirected,1
59,10,undirected,1
59,49,undirected,1
50,59,undirected,1
60,82,undirected,1
1,60,undirected,1
10,60,undirected,1
6,84,undirected,1
60,49,undirected,1
50,60,undirected,1
59,60,undirected,1
55,58,undirected,1
58,6,undirected,1
55,6,undirected,1
58,84,undirected,1
55,84,undirected,1
48,51,undirected,1
1,71,undirected,1
26,3,undirected,1
2,71,undirected,1
61,64,undirected,1
62,61,undirected,1
61,1,undirected,1
61,65,undirected,1
63,64,undirected,1
62,63,undirected,1
63,1,undirected,1
63,65,undirected,1
61,63,undirected,1
64,68,undirected,1
62,68,undirected,1
1,68,undirected,1
65,68,undirected,1
61,68,undirected,1
63,68,undirected,1
64,85,undirected,1
62,85,undirected,1
1,85,undirected,1
65,85,undirected,1
1,65,undirected,1
62,65,undirected,1
64,65,undirected,1
3,86,undirected,1
3,2,undirected,1
53,31,undirected,1
3,66,undirected,1
26,86,undirected,1
2,86,undirected,1
1,86,undirected,1
45,86,undirected,1
66,86,undirected,1
67,26,undirected,1
62,1,undirected,1
67,2,undirected,1
67,1,undirected,1
67,45,undirected,1
67,66,undirected,1
67,3,undirected,1
67,86,undirected,1
62,64,undirected,1
1,64,undirected,1
61,85,undirected,1
63,85,undirected,1
68,85,undirected,1
46,74,undirected,1
2,74,undirected,1
69,2,undirected,1
2,87,undirected,1
2,70,undirected,1
1,74,undirected,1
69,1,undirected,1
1,87,undirected,1
70,1,undirected,1
69,46,undirected,1
69,70,undirected,1
46,87,undirected,1
70,46,undirected,1
2,46,undirected,1
46,1,undirected,1
71,74,undirected,1
69,71,undirected,1
71,87,undirected,1
70,71,undirected,1
70,87,undirected,1
70,74,undirected,1
4,73,undirected,1
72,9,undirected,1
73,1,undirected,1
72,73,undirected,1
72,4,undirected,1
72,1,undirected,1
73,24,undirected,1
72,24,undirected,1
73,9,undirected,1
4,9,undirected,1
9,24,undirected,1
69,87,undirected,1
73,88,undirected,1
4,88,undirected,1
1,88,undirected,1
72,88,undirected,1
24,88,undirected,1
9,88,undirected,1
69,74,undirected,1
74,87,undirected,1
9,20,undirected,1
