Id,Name
1,phishing
2,emails
3,campaign
4,attack
5,phishing
6,paypal
7,campaign
8,malware
9,hit
10,massive
11,19
12,covid
13,feds
14,fake
15,shut
16,vaccine
17,active
18,ssns
19,photos
20,scam
21,passport
22,results
23,lures
24,spear
25,hiv
26,biden
27,emails
28,abused
29,aggah
30,sites
31,mitm
32,attacks
33,global
34,strains
35,new
36,spawn
37,6m
38,gov
39,rico
40,puerto
41,fbi
42,data
43,firm
44,iranian
45,staffers
46,librarian
47,loader
48,based
49,themed
50,expands
51,nim
52,spreads
53,group
54,gang
55,16shop
56,magecart
57,switches
58,goes
59,library
60,scale
61,doj
62,charges
63,island
64,politicians
65,rhode
66,targeted
67,apt
68,scheme
69,credentials
70,hook
71,retools
72,adult
73,dating
74,silent
75,website
76,targets
77,victims
78,wordpress
79,three
80,stole
81,via
82,university
83,tactics
84,users
85,woman
86,trump
87,student
88,universities
