Source,Target,Type,Weight
1,28,undirected,1
2,1,undirected,1
3,5,undirected,1
4,28,undirected,1
5,28,undirected,1
6,28,undirected,1
5,4,undirected,1
4,6,undirected,1
5,6,undirected,1
7,10,undirected,1
1,10,undirected,1
8,10,undirected,1
9,10,undirected,1
10,35,undirected,1
11,10,undirected,1
12,10,undirected,1
10,19,undirected,1
3,6,undirected,1
3,4,undirected,1
7,1,undirected,1
1,16,undirected,1
13,15,undirected,1
14,13,undirected,1
13,16,undirected,1
13,36,undirected,1
1,15,undirected,1
14,1,undirected,1
1,36,undirected,1
3,28,undirected,1
14,15,undirected,1
15,16,undirected,1
15,36,undirected,1
14,16,undirected,1
14,36,undirected,1
16,36,undirected,1
17,10,undirected,1
8,7,undirected,1
18,36,undirected,1
12,35,undirected,1
9,35,undirected,1
9,11,undirected,1
9,12,undirected,1
9,19,undirected,1
9,17,undirected,1
11,35,undirected,1
19,35,undirected,1
8,19,undirected,1
17,35,undirected,1
11,12,undirected,1
11,19,undirected,1
11,17,undirected,1
12,19,undirected,1
12,17,undirected,1
8,17,undirected,1
8,12,undirected,1
9,7,undirected,1
9,1,undirected,1
7,35,undirected,1
11,7,undirected,1
7,12,undirected,1
7,19,undirected,1
7,17,undirected,1
8,1,undirected,1
1,35,undirected,1
8,11,undirected,1
11,1,undirected,1
12,1,undirected,1
1,19,undirected,1
17,1,undirected,1
9,8,undirected,1
8,35,undirected,1
1,13,undirected,1
16,18,undirected,1
2,5,undirected,1
20,26,undirected,1
1,26,undirected,1
21,1,undirected,1
20,1,undirected,1
22,1,undirected,1
23,1,undirected,1
21,26,undirected,1
22,26,undirected,1
22,28,undirected,1
23,26,undirected,1
21,20,undirected,1
21,22,undirected,1
23,21,undirected,1
22,20,undirected,1
23,20,undirected,1
23,28,undirected,1
20,28,undirected,1
14,18,undirected,1
24,1,undirected,1
2,25,undirected,1
2,37,undirected,1
2,24,undirected,1
5,1,undirected,1
25,1,undirected,1
1,37,undirected,1
5,25,undirected,1
21,28,undirected,1
5,37,undirected,1
5,24,undirected,1
25,37,undirected,1
25,24,undirected,1
24,37,undirected,1
26,28,undirected,1
23,22,undirected,1
27,28,undirected,1
28,38,undirected,1
29,1,undirected,1
30,32,undirected,1
31,39,undirected,1
31,30,undirected,1
30,39,undirected,1
29,18,undirected,1
29,13,undirected,1
29,15,undirected,1
28,34,undirected,1
29,14,undirected,1
29,16,undirected,1
29,36,undirected,1
13,18,undirected,1
1,18,undirected,1
15,18,undirected,1
32,39,undirected,1
31,32,undirected,1
30,1,undirected,1
1,39,undirected,1
31,1,undirected,1
32,1,undirected,1
33,34,undirected,1
33,38,undirected,1
34,38,undirected,1
33,1,undirected,1
1,34,undirected,1
1,38,undirected,1
27,33,undirected,1
27,34,undirected,1
27,38,undirected,1
27,1,undirected,1
33,28,undirected,1
17,19,undirected,1
