,term1,term2,freq
0,android,phishing,3
1,attacks,phishing,3
2,phishing,targets,2
3,campaign,phishing,2
4,campaign,targets,2
5,mobile,phishing,2
6,attacks,mobile,2
7,mideast,officials,1
8,250,phishing,1
9,android,campaign,1
10,250,android,1
11,android,malware,1
12,250,campaign,1
13,campaign,malware,1
14,malware,phishing,1
15,250,malware,1
16,anubis,phishing,1
17,half,susceptible,1
18,phishing,susceptible,1
19,clever,susceptible,1
20,android,susceptible,1
21,attack,susceptible,1
22,sms,susceptible,1
23,handsets,susceptible,1
24,half,phishing,1
25,anubis,malware,1
26,anubis,campaign,1
27,250,anubis,1
28,android,half,1
29,phishing,roaming,1
30,ios,swarms,1
31,cryptomining,swarms,1
32,phishing,swarms,1
33,cryptomining,ios,1
34,ios,phishing,1
35,cryptomining,phishing,1
36,apps,targets,1
37,anubis,targets,1
38,android,targets,1
39,250,targets,1
40,malware,targets,1
41,anubis,apps,1
42,android,apps,1
43,apps,campaign,1
44,250,apps,1
45,apps,phishing,1
46,apps,malware,1
47,android,anubis,1
48,clever,half,1
49,clever,phishing,1
50,attack,half,1
51,attacks,issues,1
52,app,issues,1
53,android,app,1
54,app,pave,1
55,app,attacks,1
56,app,phishing,1
57,app,way,1
58,android,issues,1
59,issues,pave,1
60,issues,phishing,1
61,phishing,verification,1
62,issues,way,1
63,android,pave,1
64,android,attacks,1
65,android,way,1
66,attacks,pave,1
67,pave,phishing,1
68,pave,way,1
69,attacks,way,1
70,verification,way,1
71,attacks,verification,1
72,half,sms,1
73,clever,handsets,1
74,half,handsets,1
75,ios,roaming,1
76,attack,phishing,1
77,phishing,sms,1
78,handsets,phishing,1
79,android,clever,1
80,attack,clever,1
81,clever,sms,1
82,android,attack,1
83,pave,verification,1
84,android,sms,1
85,android,handsets,1
86,attack,sms,1
87,attack,handsets,1
88,handsets,sms,1
89,app,verification,1
90,issues,verification,1
91,android,verification,1
92,cryptomining,roaming,1
93,ios,mantis,1
94,roaming,swarms,1
95,pandemic,phishing,1
96,pandemic,skyrocket,1
97,mobile,skyrocket,1
98,enterprise,skyrocket,1
99,attacks,skyrocket,1
100,phishing,skyrocket,1
101,mobile,pandemic,1
102,enterprise,pandemic,1
103,attacks,pandemic,1
104,enterprise,mobile,1
105,amidst,attacks,1
106,attacks,enterprise,1
107,enterprise,phishing,1
108,apts,hat,1
109,black,hat,1
110,exclusive,hat,1
111,hat,video,1
112,hat,mobile,1
113,hat,redefining,1
114,amidst,phishing,1
115,amidst,enterprise,1
116,hat,phishing,1
117,officials,phishing,1
118,mideast,top,1
119,campaign,mideast,1
120,mideast,targets,1
121,mideast,phishing,1
122,officials,spy,1
123,officials,top,1
124,campaign,officials,1
125,officials,targets,1
126,spy,top,1
127,amidst,mobile,1
128,campaign,spy,1
129,spy,targets,1
130,phishing,spy,1
131,campaign,top,1
132,targets,top,1
133,phishing,top,1
134,amidst,skyrocket,1
135,amidst,pandemic,1
136,attacks,hat,1
137,apts,black,1
138,mantis,phishing,1
139,mantis,spawning,1
140,phishing,redefining,1
141,globally,spawning,1
142,globally,mantis,1
143,globally,roaming,1
144,globally,swarms,1
145,globally,ios,1
146,cryptomining,globally,1
147,globally,phishing,1
148,roaming,spawning,1
149,mobile,redefining,1
150,spawning,swarms,1
151,ios,spawning,1
152,cryptomining,spawning,1
153,phishing,spawning,1
154,mantis,roaming,1
155,mantis,swarms,1
156,mideast,spy,1
157,cryptomining,mantis,1
158,attacks,redefining,1
159,phishing,video,1
160,apts,exclusive,1
161,black,redefining,1
162,apts,video,1
163,apts,mobile,1
164,apts,redefining,1
165,apts,attacks,1
166,apts,phishing,1
167,black,exclusive,1
168,black,video,1
169,black,mobile,1
170,attacks,black,1
171,attacks,video,1
172,black,phishing,1
173,exclusive,video,1
174,exclusive,mobile,1
175,exclusive,redefining,1
176,attacks,exclusive,1
177,exclusive,phishing,1
178,mobile,video,1
179,redefining,video,1
180,phishing,way,1
