,term1,term2,freq
0,phishing,spear,5
1,emails,phishing,3
2,campaign,phishing,3
3,attack,phishing,3
4,phishing,scam,2
5,paypal,phishing,2
6,campaign,spear,2
7,malware,phishing,2
8,hit,phishing,2
9,attack,spear,2
10,massive,phishing,2
11,phishing,shut,1
12,19,phishing,1
13,covid,feds,1
14,feds,phishing,1
15,phishing,website,1
16,fake,phishing,1
17,19,vaccine,1
18,shut,vaccine,1
19,19,covid,1
20,feds,vaccine,1
21,phishing,vaccine,1
22,shut,website,1
23,vaccine,website,1
24,fake,vaccine,1
25,fake,shut,1
26,fake,website,1
27,feds,shut,1
28,19,shut,1
29,active,ssns,1
30,active,paypal,1
31,active,photos,1
32,active,scam,1
33,active,phishing,1
34,active,passport,1
35,ssns,targets,1
36,paypal,targets,1
37,photos,targets,1
38,scam,targets,1
39,phishing,targets,1
40,passport,targets,1
41,active,targets,1
42,19,feds,1
43,19,website,1
44,feds,website,1
45,19,fake,1
46,fake,feds,1
47,covid,fake,1
48,covid,website,1
49,covid,phishing,1
50,covid,shut,1
51,results,victims,1
52,attack,victims,1
53,lures,spear,1
54,spear,victims,1
55,hiv,lures,1
56,hiv,victims,1
57,hiv,phishing,1
58,attack,hiv,1
59,hiv,spear,1
60,lures,results,1
61,phishing,results,1
62,passport,scam,1
63,attack,results,1
64,results,spear,1
65,hiv,results,1
66,biden,emails,1
67,biden,phishing,1
68,biden,staffers,1
69,emails,staffers,1
70,phishing,staffers,1
71,biden,targeted,1
72,attack,lures,1
73,phishing,victims,1
74,lures,phishing,1
75,lures,victims,1
76,covid,vaccine,1
77,abused,aggah,1
78,aggah,phishing,1
79,abused,phishing,1
80,aggah,spear,1
81,abused,spear,1
82,aggah,wordpress,1
83,abused,wordpress,1
84,phishing,wordpress,1
85,spear,wordpress,1
86,aggah,campaign,1
87,abused,campaign,1
88,campaign,wordpress,1
89,aggah,sites,1
90,abused,sites,1
91,phishing,sites,1
92,sites,spear,1
93,sites,wordpress,1
94,campaign,sites,1
95,passport,phishing,1
96,mitm,switches,1
97,passport,photos,1
98,phishing,strains,1
99,phishing,spawn,1
100,attacks,strains,1
101,attacks,new,1
102,attacks,spawn,1
103,attacks,phishing,1
104,global,strains,1
105,global,new,1
106,global,spawn,1
107,global,phishing,1
108,attacks,global,1
109,strains,three,1
110,new,three,1
111,spawn,three,1
112,phishing,three,1
113,attacks,three,1
114,global,three,1
115,malware,strains,1
116,malware,new,1
117,malware,spawn,1
118,new,phishing,1
119,new,spawn,1
120,passport,paypal,1
121,spawn,strains,1
122,6m,scam,1
123,6m,phishing,1
