,0
0,sponsored
1,targeted
2,israeli
3,military
4,officials
5,nate
6,nelson
7,write
8,analysts
9,iran
10,emails
11,israeli
12,government
13,officials
14,advanced
15,persistent
16,ties
17,iran
18,believed
19,targeting
20,high
21,government
22,military
23,israeli
24,personnel
25,targets
26,leadership
27,israeli
28,defense
29,industry
30,former
31,ambassador
32,israel
33,former
34,deputy
35,prime
36,minister
37,israel
38,goal
39,obtain
40,targets
41,emails
42,legit
43,targets
44,tzipi
45,livni
46,israel
47,former
48,foreign
49,minister
50,minister
51,justice
52,vice
53,prime
54,minister
55,target
56,selected
57,high
58,caliber
59,her
60,book
61,ago
62,received
63,email
64,former
65,major
66,general
67,idf
68,served
69,position
70,spoofed
71,corresponded
72,translated
73,hebrew
74,message
75,hello
76,my
77,dear
78,friends
79,please
80,summarize
81,eyes
82,course
83,distributed
84,final
85,happy
86,receive
87,remarks
88,rest
89,message
90,livni
91,delayed
92,prompting
93,follow
94,emails
95,good
96,morning
97,haven
98,heard
99,friends
100,me
101,remarks
102,remarks
103,me
104,busy
105,wanted
106,ask
107,good
108,persistence
109,flurry
110,messages
111,raised
112,her
113,suspicions
114,livni
115,met
116,former
117,major
118,general
119,became
120,clear
121,emails
122,contents
123,messages
124,story
125,targets
126,suspect
127,emails
128,happened
129,wasn
130,particularly
131,technical
132,sophisticated
133,social
134,engineering
135,sergey
136,shykevich
137,manager
138,targeted
139,specifically
140,crafted
141,target
142,personally
143,crafted
144,emails
145,spear
146,initiated
147,spear
148,compromising
149,email
150,book
151,belonging
152,target
153,hijacked
154,existing
155,email
156,target
157,steer
158,conversation
159,towards
160,conning
161,target
162,emails
163,relevant
164,target
165,analysts
166,invitation
167,conference
168,yahoo
169,upload
170,scans
171,goal
172,passport
173,scans
174,mail
175,why
176,solid
177,evidence
178,shykevich
179,assume
180,analysis
181,evidence
182,points
183,iran
184,phosphorus
185,charming
186,kitten
187,ajax
188,newsbeef
189,apt35
190,phosphorus
191,iran
192,apts
193,history
194,conducting
195,high
196,aligned
197,iranian
198,regime
199,targeting
200,israeli
201,officials
202,iran
203,israel
204,usually
205,odds
206,came
207,midst
208,escalating
209,tensions
210,israel
211,iran
212,assassinations
213,iranian
214,officials
215,affiliated
216,israeli
217,mossad
218,thwarted
219,kidnap
220,israeli
221,citizens
222,worldwide
223,suspect
224,phosphorous
225,efforts
226,future
227,callback
228,impersonates
229,firms
230,mobile
231,poll
232,write
233,instructed
234,phone
235,direct
236,downloading
237,callback
238,prominent
239,companies
240,try
241,phone
242,instruct
243,crowdstrike
244,crowdstrike
245,companies
246,firms
247,impersonated
248,blog
249,employs
250,typical
251,email
252,aiming
253,fool
254,replying
255,urgency
256,implying
257,company
258,breached
259,insisting
260,phone
261,message
262,targeted
263,calls
264,reach
265,someone
266,directs
267,intent
268,infosec
269,insiders
270,newsletter
271,historically
272,callback
273,operators
274,persuade
275,install
276,commercial
277,foothold
278,likened
