,0
0,enterprise
1,mobile
2,skyrocket
3,amidst
4,pandemic
5,q4
6,q1
7,attributed
8,creation
9,workforce
10,covid
11,stay
12,home
13,orders
14,rate
15,mobile
16,rose
17,sharply
18,quarter
19,quarter
20,boost
21,increased
22,home
23,covid
24,stay
25,home
26,orders
27,encounter
28,rates
29,enterprise
30,mobile
31,increased
32,quarter
33,quarter
34,mobile
35,spotlight
36,highlights
37,shifted
38,evolving
39,move
40,physical
41,mobile
42,home
43,office
44,wake
45,covid
46,pandemic
47,forced
48,companies
49,home
50,mobile
51,devices
52,productivity
53,workers
54,longer
55,protective
56,perimeter
57,office
58,hank
59,schless
60,manager
61,solutions
62,blog
63,short
64,prime
65,opportunity
66,expand
67,foreseeable
68,future
69,corporations
70,google
71,twitter
72,facebook
73,amazon
74,keeping
75,workforce
76,until
77,shelter
78,regulations
79,lifted
80,organizations
81,shift
82,education
83,keep
84,evolving
85,reality
86,organizations
87,ensure
88,prepared
89,schless
90,indeed
91,general
92,choice
93,pandemic
94,widely
95,socially
96,engineered
97,email
98,infostealers
99,cyberattackers
100,emails
101,per
102,covid
103,pandemic
104,mobile
105,typical
106,target
107,workstations
108,laptops
109,thing
110,emails
111,schless
112,mobile
113,gives
114,wider
115,playing
116,field
117,installing
118,social
119,messaging
120,dating
121,apps
122,payloads
123,mobile
124,devices
125,difference
126,tend
127,mobile
128,devices
129,sit
130,intersection
131,owners
132,professional
133,identity
134,schless
135,less
136,attentive
137,possibility
138,receiving
139,interface
140,notice
141,mobile
142,smaller
143,screen
144,simplified
145,interface
146,addition
147,educating
148,higher
149,mobile
150,remotely
151,organizations
152,consider
153,strategies
154,workers
155,mobile
156,implement
157,infrastructure
158,protocols
159,consider
160,mobile
161,workplace
162,entity
163,enterprise
164,scenario
165,located
166,physical
167,location
168,schless
169,suggested
170,indeed
171,bolstering
172,cloud
173,measures
174,dispersed
175,workforce
176,completely
177,premise
178,enterprise
179,solution
180,aspect
181,combatting
182,mobile
183,imperative
184,organizations
185,adopt
186,comprehensive
187,mobile
188,solution
189,built
190,cloud
191,enabled
192,mobile
193,schless
194,targets
195,android
196,apps
197,anubis
198,perform
199,keylogging
200,completely
201,hijack
202,mobile
203,attempting
204,sophisticated
