,0
0,omicron
1,scam
2,uk
3,becky
4,bracken
5,omicron
6,covid
7,anxiety
8,inspires
9,scam
10,offering
11,nhs
12,tests
13,pandemic
14,provided
15,cover
16,sorts
17,scams
18,couple
19,rise
20,alarm
21,spread
22,covid
23,omicron
24,exception
25,public
26,professionals
27,globe
28,grapple
29,fear
30,dangerous
31,covid
32,delta
33,grabbed
34,opportunity
35,turn
36,uncertainty
37,cash
38,consumer
39,watchdog
40,raised
41,alarm
42,scam
43,doctored
44,official
45,communications
46,national
47,nhs
48,targeting
49,offers
50,pcr
51,tests
52,covid
53,omicron
54,infosec
55,insiders
56,newsletter
57,centers
58,disease
59,cdc
60,organization
61,omicron
62,concern
63,covid
64,virus
65,spreading
66,rapidly
67,public
68,officials
69,aren
70,sure
71,yet
72,vaccines
73,mitigation
74,strategies
75,mutation
76,cbs
77,news
78,pandemic
79,distress
80,presented
81,opportunity
82,omicron
83,anxiety
84,fuels
85,scam
86,email
87,offered
88,phone
89,contacting
90,offering
91,specifically
92,detect
93,omicron
94,nhs
95,scientists
96,covid
97,sic
98,omicron
99,spreads
100,rapidly
101,transmitted
102,fully
103,vaccinated
104,jabs
105,less
106,email
107,covid
108,sic
109,omicron
110,quickly
111,apparent
112,dormant
113,tests
114,besides
115,false
116,email
117,littered
118,grammatical
119,errors
120,bottom
121,correspondence
122,takes
123,nhs
124,birth
125,phone
126,email
127,addition
128,personally
129,identifiable
130,pii
131,fee
132,mother
133,maiden
134,target
135,banking
136,pandemic
137,rely
138,anxiety
139,cause
140,overlook
141,obvious
142,signs
143,scams
144,exploit
145,emotions
146,react
147,quickly
148,thinking
149,erich
150,kron
151,advocate
152,knowbe4
153,covid
154,significant
155,emotional
156,weight
157,tired
158,lockdowns
159,continuing
160,impact
161,pandemic
162,powerful
163,watchdog
164,submitted
165,findings
166,national
167,centre
168,ncsc
169,omicron
170,bait
171,surface
172,weeks
173,consumers
174,alert
175,covid
176,frenzy
177,covid
178,vaccines
179,began
180,rolling
181,analysis
182,barracuda
183,networks
184,average
185,vaccine
186,spear
187,grew
188,attorney
189,office
190,department
191,homeland
192,shut
193,scam
194,targeting
195,immigrant
196,communities
197,vaccine
198,scams
199,besides
200,vaccine
201,pandemic
202,inspired
203,spear
204,offering
205,covid
206,relief
207,checks
208,job
209,opportunities
210,left
211,unemployed
212,widespread
213,shutdowns
214,held
215,onto
216,jobs
217,targeted
218,returned
219,scam
220,emails
221,purporting
222,offer
223,office
224,covid
225,protocols
226,stole
227,cautious
228,almost
229,unsolicited
230,communication
231,relating
232,covid
233,anyone
234,received
235,scam
236,omicron
237,pcr
238,emails
239,advised
240,forward
241,ncsc
242,facebook
243,launching
244,pad
245,facebook
246,amazon
247,apple
248,netflix
249,facebook
250,whatsapp
251,brands
252,strike
253,facebook
254,facebook
255,cybercriminal
256,favorite
257,shedding
258,light
259,social
260,facebook
261,messenger
262,app
263,whatsapp
264,followed
265,amazon
266,apple
267,netflix
268,google
269,offerings
270,youtube
271,gmail
272,google
273,took
274,sixth
275,position
276,altogether
277,analysis
278,note
279,targeted
280,frequently
281,accessed
282,medium
283,businesses
284,risks
285,imagine
286,daily
287,lives
288,social
289,messenger
290,apps
291,tatyana
292,sidorina
293,expert
294,organization
295,understand
296,measures
297,needed
298,prevent
299,businesses
300,comfortable
301,require
302,crucial
303,balance
304,right
305,facebook
306,incredible
307,base
308,billion
309,monthly
310,quarter
311,attractive
312,tap
313,social
314,giant
315,slew
316,messages
317,reason
318,why
319,facebook
320,shed
321,light
322,facebook
323,facebook
324,messenger
325,appeared
326,youtube
327,video
328,ultimately
329,led
330,facebook
331,collect
332,facebook
333,previous
334,targeted
335,facebook
336,tricky
337,reproducing
338,social
339,prompt
340,realistic
341,format
342,inside
343,block
344,targeting
345,facebook
346,ad
347,siphoned
348,advertising
349,facebook
350,credit
351,facebook
352,finding
353,youtube
354,facebook
355,medium
356,businesses
357,devices
358,google
359,gmail
360,whatsapp
361,follow
362,closely
363,lists
364,results
365,confirm
366,applications
367,valuable
368,fraudsters
369,actions
370,side
371,coin
372,social
373,blocked
374,application
375,companies
376,blocked
377,applications
378,twitter
379,pinterest
380,instagram
381,linkedin
382,messengers
383,mail
384,commonly
385,blocked
386,purposes
387,needs
388,google
389,gmail
390,google
391,targeted
392,statistics
393,obtained
394,period
395,distributed
396,antivirus
397,ksn
398,consist
399,depersonalized
400,metadata
401,voluntarily
402,provided
403,ksn
404,participants
405,spokesperson
406,moving
407,forward
408,companies
409,keep
410,eye
411,emerging
412,brands
413,tiktok
414,short
415,video
416,application
417,big
418,bases
419,inevitably
420,flock
421,purposes
422,organizations
423,priorities
424,organizations
425,understand
426,relevant
427,face
428,infiltrate
429,endpoints
430,becomes
431,attractive
432,target
433,amongst
434,instagram
435,center
436,scam
437,pilfers
438,warn
439,scam
440,targeting
441,instagram
442,direct
443,messages
444,app
445,turkish
446,speaking
447,instagram
448,seemingly
449,messages
450,social
451,company
452,aim
453,instagram
454,email
455,targeting
456,celebrities
457,startup
458,business
459,owners
460,entities
461,sizeable
462,followings
463,instagram
464,came
465,radar
466,police
467,officer
468,followers
469,instagram
470,targeted
471,previous
472,messages
473,instagram
474,email
475,messages
476,instagram
477,itself
478,pretend
479,instagram
480,center
481,claim
482,copyright
483,violation
484,complaint
485,filed
486,owner
487,deleted
488,message
489,provides
490,masquerades
491,appeal
492,micro
493,friday
494,analysis
495,leads
496,requested
497,username
498,writing
499,validation
500,meaning
501,input
502,existent
503,input
504,accepted
505,expand
506,selects
507,screen
508,email
509,email
510,inputs
511,redirects
512,instagram
513,logged
514,social
515,tapping
516,redirects
517,homepage
518,gives
519,illusion
520,filled
521,officially
522,connected
523,instagram
524,hold
525,instagram
526,unlink
527,cellphone
528,connected
529,change
530,email
531,email
532,email
533,targeted
534,instagram
535,scams
536,emails
537,requesting
538,confirm
539,receive
540,verified
541,badge
542,selecting
543,leads
544,harvests
545,email
546,birth
547,modify
548,recovering
549,jindrich
550,karasek
551,micro
552,impact
553,depends
554,karasek
555,famous
556,blackmailed
557,google
558,karasek
559,social
560,networks
561,whole
562,online
563,identity
564,exploited
565,abused
566,expand
567,advised
568,instagram
569,cautious
570,seemingly
571,examine
572,message
573,ungrammatical
574,constructions
575,spelling
576,mistakes
577,sources
578,hover
579,reveals
580,expected
581,reached
582,instagram
583,commentary
584,targets
585,mobile
586,bank
587,app
588,north
589,america
590,mobile
591,banking
592,tom
593,spring
594,rbc
595,hsbc
596,td
597,meridian
598,bnc
599,chase
600,targeted
601,mobile
602,targeted
603,dozen
604,north
605,american
606,banks
607,chase
608,royal
609,bank
610,canada
611,td
612,bank
613,managed
614,hook
615,nearly
616,automated
617,blast
618,bogus
619,messages
620,mobile
621,phone
622,mobile
623,mobile
624,messages
625,claiming
626,bank
627,detected
628,tied
629,messages
630,built
631,mobile
632,mirroring
633,mobile
634,banking
635,application
636,layouts
637,sizing
638,mobile
639,banking
640,privacy
641,activate
642,mobile
643,banking
644,apurva
645,kumar
646,staff
647,engineer
648,kristin
649,del
650,rosso
651,engineer
652,friday
653,pointed
654,mobile
655,advantages
656,desktop
657,equivalents
658,mobile
659,messages
660,spoofed
661,less
662,scrutinized
663,mobile
664,typically
665,move
666,less
667,scrutinize
668,authenticity
669,message
670,messages
671,attractive
672,condensed
673,mobile
674,display
675,entire
676,harder
677,determine
678,legitimacy
679,banks
680,impacted
681,scam
682,scotiabank
683,cibc
684,royal
685,bank
686,canada
687,uni
688,hsbc
689,tangerine
690,td
691,bank
692,meridian
693,laurentian
694,manulife
695,bnc
696,chase
697,hooked
698,prompted
699,divulge
700,answers
701,questions
702,birth
703,credit
704,card
705,expiration
706,username
707,course
708,phones
709,logged
710,adversaries
711,multi
712,apps
713,mobile
714,banking
715,consumers
716,increasingly
717,accustomed
718,banks
719,communicating
720,messages
721,traffic
722,analysis
723,bogus
724,mobile
725,banking
726,revealed
727,provided
728,determined
729,followed
730,answering
731,limited
732,questions
733,abandoning
734,screenshot
735,right
736,image
737,highlights
738,devices
739,went
740,providing
741,birth
742,fully
743,completing
744,cup
745,vacation
746,scams
747,lead
748,trips
749,summer
750,targeted
751,booking
752,whatsapp
753,messages
754,texts
755,holidays
756,summer
757,traditional
758,seasons
759,scamming
760,summer
761,shaping
762,hot
763,front
764,swirling
765,supposed
766,incidents
767,vacation
768,bookings
769,course
770,cup
771,targeted
772,booking
773,whatsapp
774,messages
775,texts
776,change
777,wake
778,supposed
779,course
780,booking
781,sun
782,newspaper
783,uk
784,correspondence
785,fully
786,outfitted
787,booking
788,hotels
789,phone
790,dates
791,prices
792,bookings
793,reference
794,malefactors
795,followed
796,message
797,demanding
798,holidays
799,bank
800,sinan
801,eren
802,ceo
803,fyde
804,fresh
805,trends
806,trips
807,season
808,move
809,away
810,email
811,communication
812,mediums
813,interesting
814,booking
815,shifted
816,instant
817,messaging
818,lack
819,robust
820,spam
821,eren
822,mobile
823,carriers
824,gateways
825,legacy
826,modern
827,remediation
828,capabilities
829,cheap
830,twilio
831,nexmo
832,credit
833,card
834,messages
835,millions
836,smartphones
837,short
838,amount
839,messaging
840,api
841,providers
842,react
843,retroactively
844,shut
845,nature
846,volume
847,instant
848,messaging
849,protocols
850,whatsapp
851,peer
852,peer
853,design
854,offer
855,rudimentary
856,detecting
857,scams
858,rounds
859,alaska
860,airlines
861,scam
862,facebook
863,purports
864,alaska
865,airlines
866,offering
867,tickets
868,exchange
869,completing
870,short
871,question
872,survey
873,done
874,facebook
875,finalize
876,deal
877,selected
878,short
879,survey
880,alaska
881,airlines
882,tickets
883,tickets
884,remaining
885,hurry
886,scam
887,proclaims
888,obviously
889,works
890,considering
891,rounds
892,alaskaair
893,promoted
894,alaskaair
895,affiliation
896,alaska
897,official
898,promotion
899,airline
900,cautioned
901,facebook
902,angle
903,indicative
904,widespread
905,trends
906,guys
907,effect
908,better
909,roi
910,seeing
911,increasing
912,amount
913,social
914,engineering
915,schemes
916,propagate
917,scam
918,eren
919,eligible
920,prize
921,required
922,message
923,etc
924,obvious
925,effect
926,propagating
927,scam
928,easier
929,plus
930,less
931,positive
932,trolling
933,fraudsters
934,add
935,social
936,followers
937,comments
938,posts
939,conversion
940,below
941,comments
942,promoting
943,disneyland
944,paris
945,scam
946,fifa
947,cup
948,kick
949,russia
950,soccer
951,tournament
952,perennial
953,favorite
954,scammery
955,hat
956,nefariousness
957,involves
958,dubious
959,messages
960,promoting
961,tickets
962,tournament
963,wouldn
964,expenses
965,paid
966,trip
967,match
968,emails
969,news
