,0
0,abused
1,aggah
2,spear
3,pakistan
4,warzone
5,manufacturing
6,companies
7,taiwan
8,south
9,korea
10,target
11,manufacturers
12,asia
13,spear
14,delivers
15,warzone
16,commodity
17,infostealer
18,widely
19,purchase
20,criminal
21,forums
22,aggah
23,believed
24,affiliated
25,pakistan
26,delivering
27,spreading
28,manufacturing
29,companies
30,taiwan
31,south
32,korea
33,anomali
34,began
35,early
36,spoofed
37,email
38,appearing
39,originate
40,manufacturers
41,signaling
42,aggah
43,infosec
44,insiders
45,newsletter
46,spoofed
47,business
48,business
49,b2b
50,email
51,targeted
52,industry
53,consistent
54,aggah
55,gould
56,rory
57,gould
58,anomali
59,palo
60,alto
61,unit
62,aggah
63,targeting
64,entities
65,arab
66,emirates
67,later
68,revengerat
69,typically
70,aims
71,targets
72,thought
73,gorgon
74,pakistani
75,targeting
76,western
77,governments
78,association
79,proven
80,tend
81,agree
82,urdu
83,speaking
84,originated
85,pakistan
86,anomali
87,targets
88,aggah
89,fon
90,star
91,international
92,taiwan
93,manufacturing
94,company
95,fomotech
96,taiwanese
97,engineering
98,company
99,hyundai
100,electric
101,korean
102,power
103,company
104,target
105,manufacturers
106,suppliers
107,target
108,infiltrate
109,high
110,defunct
111,revil
112,gang
113,successfully
114,deployed
115,quanta
116,taiwanese
117,supplier
118,apple
119,ahead
120,big
121,apple
122,product
123,revil
124,stole
125,quanta
126,blueprints
127,apple
128,operators
129,threatened
130,release
131,spill
132,beans
133,pressure
134,company
135,pay
136,ahead
137,apple
138,spring
139,loaded
140,exploiting
141,aggah
142,spear
143,begins
144,email
145,masquerading
146,foodhub
147,co
148,uk
149,online
150,food
151,kingdom
152,email
153,body
154,shipping
155,powerpoint
156,named
157,purchase
158,pdf
159,ppam
160,obfuscated
161,macros
162,mshta
163,mail
164,hoteloscar
165,images
166,hoteloscar
167,hotel
168,india
169,scripts
170,throughout
171,scripts
172,appeared
173,indicating
174,exploited
175,anti
176,debugging
177,setinterval
178,detect
179,debugger
180,sends
181,setinterval
182,infinite
183,loop
184,debugger
185,detected
186,debugging
187,checks
188,returned
189,dlsc
190,af
191,wp
192,admin
